datetime,Global_active_power
2010-09-28,1403.7479999999998
2010-09-29,1684.4259999999972
2010-09-30,1248.2779999999998
2010-10-01,1504.8200000000006
2010-10-02,1923.2539999999967
2010-10-03,1830.683999999999
2010-10-04,1775.9600000000016
2010-10-05,1854.6240000000034
2010-10-06,1315.4559999999992
2010-10-07,1809.9540000000006
2010-10-08,1510.4560000000006
2010-10-09,1611.7800000000007
2010-10-10,1998.9039999999989
2010-10-11,1622.5900000000022
2010-10-12,1579.6920000000002
2010-10-13,2073.885999999997
2010-10-14,2135.122000000004
2010-10-15,1596.3239999999978
2010-10-16,1000.0140000000017
2010-10-17,1047.3820000000019
2010-10-18,2713.8840000000005
2010-10-19,1925.978
2010-10-20,1727.9640000000034
2010-10-21,1355.1980000000008
2010-10-22,1668.8919999999978
2010-10-23,2293.236000000001
2010-10-24,2392.462000000001
2010-10-25,1163.291999999999
2010-10-26,945.9039999999983
2010-10-27,1260.2780000000025
